Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
104	1/30/1994	Heliconius	erato	etylus	f	NO WINGS;	Wild	104	"Rio Bombuscaro bridge, East of Zamora"	Zamora	Ecuador					NO WINGS	wild
250	5/19/1994	Heliconius	melpomene		M	NO WINGS	Wild	250	Guayquichuma Glen		Ecuador					NO WINGS	wild
396	7/5/1994	Heliconius	clysonymus		M		Wild	396	"Chagauarpamba, 2gm south"		Ecuador						wild
397	7/5/1994	Heliconius	clysonymus		f		Wild	397	"Chagauarpamba, 2gm south"		Ecuador						wild
398	7/6/1994	Heliconius	clysonymus		M		Wild	398	"Chagauarpamba, 2gm south"		Ecuador						wild
428	7/16/1994	Heliconius	melpomene	ecuadoriensis	f		Wild	428	Zumba-Pucupamba 3.3gm	Zamora	Ecuador						wild
432	7/16/1994	Heliconius	numata?		m		Wild	432	Zumba-Palanda 5.1gm		Ecuador						wild
433	7/16/1994	Heliconius	numata?		m		Wild	433	Zumba-Palanda 5.1gm		Ecuador						wild
451	7/21/1994	Heliconius	sara		f		Wild	451	Guayquichuma +1.25km 		Ecuador						wild
452	7/21/1994	Heliconius	sara		m		Wild	452	Guayquichuma +1.25km 		Ecuador						wild
453	7/21/1994	Heliconius	sara		m		Wild	453	Guayquichuma +1.25km 		Ecuador						wild
458	7/21/1994	Heliconius	sara		m		Wild	458	Guayquichuma +1.25km 		Ecuador						wild
513	8/20/1994	Heliconius	telesiphe		m		Wild	513	Romerllos Guard station near Zamora	Zamora	Ecuador						wild
514	8/20/1994	Heliconius	telesiphe		m		Wild	514	Romerllos Guard station near Zamora	Zamora	Ecuador						wild
515	8/20/1994	Heliconius	telesiphe		f		Wild	515	Romerllos Guard station near Zamora	Zamora	Ecuador						wild
570	10/27/1994	Eueides	procula		f		Wild	570	"Buena Vista East 3.1gm, near Chaguar."		Ecuador						wild
800	10/27/1994	Eueides	aliphero		m		Wild	800	Rio Guaduas (Chaguarpamba-Balsas)		Ecuador						wild
1042	6/11/1994	Heliconius	melpomene	cythera	m		Wild	1042	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1043	6/11/1994	Heliconius	charithonia		m		Wild	1043	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1044	6/11/1994	Heliconius	charithonia		m		Wild	1044	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1045	6/11/1994	Heliconius	charithonia		m		Wild	1045	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1046	6/11/1994	Heliconius	charithonia		f		Wild	1046	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1047	6/11/1994	Heliconius	cydno		m		Wild	1047	"Hacienda Hesperia, Sto. Domingo"	Pinchincha	Ecuador			1130m			wild
1050	7/11/1994	Heliconius	melpomene	cythera	m		Wild	1050	Tinalandia	Pinchincha	Ecuador			750m			wild
1051	7/11/1994	Heliconius	melpomene	cythera	m		Wild	1051	Tinalandia	Pinchincha	Ecuador			750m			wild
1056	7/11/1994	Heliconius	eleuchia		m		Wild	1056	Tinalandia	Pinchincha	Ecuador			750m			wild
1057	8/11/1994	Heliconius	eleuchia		m		Wild	1057	"Alluriquin, Sto. Domingo"	Pinchincha	Ecuador			780m			wild
1058	8/11/1994	Heliconius	eleuchia		m		Wild	1058	"Alluriquin, Sto. Domingo"	Pinchincha	Ecuador			780m			wild
1378		Heliconius	melpomene	cythera	m	no date	Wild	1378	Zhud-La Troncale		Ecuador						wild
1379		Heliconius	melpomene	cythera	f	no date	Wild	1379	Zhud-La Troncale		Ecuador						wild
1968	12/23/1999				m	NO WINGS	Wild	1968			Ecuador					NO WINGS	wild
2239	1/1/1995	Heliconius	erato	lativitta			Wild	2239	" Satcha lodge,Rio Napo"	Napo	Ecuador						wild
2240	1/1/1995	Heliconius	sp?				Wild	2240	" Satcha lodge,Rio Napo"	Napo	Ecuador						wild
2596	1/1/1995	Dryas	iulia		f		Wild	2596	Vilcabamba	Loja	Ecuador						wild
3176	7/3/1995	Podotricha	telesiphe				Wild	3176	Valladollid		Ecuador						wild
3905	5/4/1995	Dryas	iulia		m		Wild	3905	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3906	5/4/1995	Dryas	iulia		f		Wild	3906	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3910	5/4/1995	Heliconius	athis		m		Wild	3910	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3911	5/4/1995	Heliconius	athis		f		Wild	3911	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3916	5/4/1995	Heliconius	sapho		m		Wild	3916	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3917	5/4/1995	Heliconius	eleuchia		f		Wild	3917	"Oleoducto,Alluriguin nr.Santo Domingo"	Pinchincha	Ecuador						wild
3968	5/4/1995	Heliconius	athis		f		Wild	3968	Along road to Sto Domingo	Pinchincha	Ecuador						wild
3969	5/4/1995	Heliconius	athis		m		Wild	3969	Along road to Sto Domingo	Pinchincha	Ecuador						wild
3997	8/4/1995	Podotricha	telesiphe		m		Wild	3997	"Baeza,in river by cementario,"	Napo	Ecuador			1800m			wild
3998	8/4/1995	Podotricha	telesiphe		m		Wild	3998	"Baeza,in river by cementario,"	Napo	Ecuador			1800m			wild
3999	8/4/1995	Heliconius	telesiphe		f	NO WINGS	Wild	3999	22.9Km Baeza tena	Napo	Ecuador			1450m		NO WINGS	wild
4001	1/6/2000	Heliconius	erato	lativitta	m	INEFAN?	Wild	4001		Baeza	Ecuador						wild
4003	1/6/2000	Heliconius	erato	lativitta	m	INEFAN?	Wild	4003		Baeza	Ecuador						wild
4004	1/6/2000	Heliconius	erato	lativitta	m	INEFAN?	Wild	4004		Baeza	Ecuador						wild
4007	8/4/1995	Heliconius	erato	sp???	f	lativitta like	Wild	4007	31Km Baeza tena	Napo	Ecuador			900m		lativitta like	wild
4008	8/4/1995	Heliconius	erato	sp??	m	lativitta-like	Wild	4008	31Km Baeza tena	Napo	Ecuador			900m		lativitta-like	wild
4011	8/4/1995	Heliconius	numata		m		Wild	4011	31Km Baeza tena	Napo	Ecuador			900m			wild
4012	8/4/1995	Heliconius	numata		m		Wild	4012	"Baeza,in river by cementario"	Napo	Ecuador			1800m			wild
4019	8/4/1995	Dryas	iulia		m		Wild	4019	31Km Baeza tena	Napo	Ecuador			900m			wild
4020	8/4/1995	Dryas	iulia		m		Wild	4020	31Km Baeza tena	Napo	Ecuador			900m			wild
4021	8/4/1995	Dryas	iulia		m		Wild	4021	31Km Baeza tena	Napo	Ecuador			900m			wild
4022	8/4/1995	Heliconius	sara?		f		Wild	4022	31Km Baeza tena	Napo	Ecuador			900m			wild
4023	8/4/1995	Dione	juno		m		Wild	4023	31Km Baeza tena	Napo	Ecuador			900m			wild
4026	8/4/1995	Heliconius	melpomene	aglaope	m		Wild	4026	31Km Baeza tena	Napo	Ecuador			900m			wild
4027	8/4/1995	Heliconius	melpomene	aglaope	m		Wild	4027	31Km Baeza tena	Napo	Ecuador			900m			wild
7151	1/8/1997	Heliconius	melpomene	rosina			Wild	7151	Rio Calovebra		Panama						wild
7152	1/8/1997	Heliconius	melpomene	rosina			Wild	7152	Rio Calovebra		Panama						wild
7153	1/8/1997	Heliconius	erato	petiverana			Wild	7153	Rio Calovebra		Panama						wild
7154	1/8/1997	Heliconius	erato	petiverana			Wild	7154	Rio Calovebra		Panama						wild
7155	1/8/1997	Heliconius	erato	petiverana			Wild	7155	Rio Calovebra		Panama						wild
7156	1/8/1997	Heliconius	erato	petiverana			Wild	7156	Rio Calovebra		Panama						wild
7157	1/8/1997	Heliconius	erato	petiverana			Wild	7157	Rio Calovebra		Panama						wild
7158	1/8/1997	Heliconius	erato	petiverana			Wild	7158	Rio Calovebra		Panama						wild
7159	1/8/1997	Heliconius	erato	petiverana			Wild	7159	Rio Calovebra		Panama						wild
7160	1/8/1997	Heliconius	erato	petiverana			Wild	7160	Rio Calovebra		Panama						wild
