Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
FG105	11/2/2000	Dryadula					Wild	FG105	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG106	11/2/2000	Dryadula					Wild	FG106	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG107	11/2/2000	Dryadula					Wild	FG107	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG108	11/2/2000	Dryadula					Wild	FG108	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG109	11/2/2000	Dryadula					Wild	FG109	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG11	10/27/2000	Heliconius	spp 1		Unknown	White patches & skinny wings but slightly larger poss. 2nd species!	Wild	FG11	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings but slightly larger poss. 2nd species!	"DDK, WOM"	wild
FG110	11/2/2000	Dryadula					Wild	FG110	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG111	11/2/2000	Dryadula					Wild	FG111	Mariposoula au Grande Santi Loca	St. Laurent du Maroni	French Guiana	3.828933333	54.19371667	84.1248		"DDK, WOM, CREW"	wild
FG112	11/2/2000	Heliconius				Suriname?	Wild	FG112	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG113	11/2/2000	Heliconius	melpomene		Male	Suriname?	Wild	FG113	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG114	11/2/2000	Dione				Suriname?	Wild	FG114	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG115	11/2/2000	Dione				Suriname?	Wild	FG115	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG116	11/2/2000	Heliconius					Wild	FG116	Mariposoula au Grande Santi This GPS is 1km down rio from this spot!	St. Laurent du Maroni	French Guiana	4.15055	54.3351	45.1104		"DDK, WOM, CREW"	wild
FG117	11/2/2000	Heliconius					Wild	FG117	Mariposoula au Grande Santi This GPS is 1km down rio from this spot!	St. Laurent du Maroni	French Guiana	4.15055	54.3351	45.1104		"DDK, WOM, CREW"	wild
FG118	11/3/2000	Heliconius	melpomene	thexilope	Male		Wild	FG118	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG119	11/3/2000	Heliconius	wallacei		Female		Wild	FG119	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG12	10/27/2000	Ithomiine spp.				Melinea ? Mechanitis	Wild	FG12	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	Melinea ? Mechanitis	"DDK, WOM"	wild
FG120	11/3/2000	Heliconius	wallacei		Male		Wild	FG120	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG121	11/3/2000	Heliconius	wallacei		Male		Wild	FG121	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG122	11/3/2000	Heliconius	wallacei		Female		Wild	FG122	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG123	11/3/2000	Heliconius	wallacei		Female		Wild	FG123	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG124	11/3/2000	Heliconius	wallacei		Male		Wild	FG124	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG125	11/3/2000	Heliconius	wallacei		Male		Wild	FG125	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG126	11/3/2000	Heliconius	wallacei		Male		Wild	FG126	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144		"DDK, WOM, CREW"	wild
FG128	11/3/2000	Heliconius	wallacei		Male		Wild	FG128	Grande Santi au Kanut Tani Creek on SU side	St. Laurent du Maroni	French Guiana	4.3265	54.3942	-9.144		"DDK, WOM, CREW"	wild
FG129	11/3/2000	Heliconius	wallacei		Female		Wild	FG129	Grande Santi au Kanut Tani Creek on SU side	St. Laurent du Maroni	French Guiana	4.3265	54.3942	-9.144		"DDK, WOM, CREW"	wild
FG13	10/27/2000	Heliconius	sara				Wild	FG13	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496		"DDK, WOM"	wild
FG131	11/3/2000	Heliconius	melpomene		Female		Wild	FG131	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG132	11/3/2000	Heliconius	melpomene	thexilope	Male		Wild	FG132	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG133	11/3/2000	Heliconius	wallacei		Male		Wild	FG133	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG134	11/3/2000	Heliconius	wallacei		Female		Wild	FG134	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG135	11/3/2000	Heliconius	wallacei		Male		Wild	FG135	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG136	11/3/2000	Heliconius	wallacei		Male		Wild	FG136	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416		"DDK, WOM, CREW"	wild
FG137	11/3/2000	Heliconius	wallacei		Male		Wild	FG137	Grande Santi au Kanut Tani Oxbow in Surinam	St. Laurent du Maroni	French Guiana	4.373783333	54.44163333	27.1272		"DDK, WOM, CREW"	wild
FG138	11/3/2000	Heliconius	melpomene		Male		Wild	FG138	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144		"DDK, WOM, CREW"	wild
FG139	11/4/2000	Dione					Wild	FG139	Kanut Tani Au St. Laurent du Maroni Arrive in St. Laurent Du Maroni	St. Laurent du Maroni	French Guiana					"DDK, WOM, CREW"	wild
FG14	10/27/2000	Heliconius	spp 1?			White patches & skinny wings but slightly larger poss. 2nd species!	Wild	FG14	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings but slightly larger poss. 2nd species!	"DDK, WOM"	wild
FG15	10/27/2000	Heliconius	sara				Wild	FG15	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496		"DDK, WOM"	wild
FG16	10/27/2000	Heliconius	erato	erato	Male	young ? old ?	Wild	FG16	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ crk on road"	Cayenne	French Guiana	4.547866667	52.47395	138.0744		"DDK, WOM"	wild
FG18	10/27/2000	Heliconius	spp 1			large!	Wild	FG18	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	large!	"DDK, WOM"	wild
FG19	10/27/2000	Ithomiine spp.					Wild	FG19	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248		"DDK, WOM"	wild
FG2	10/27/2000	Heliconius	erato hybrid		Male?		Wild	FG2	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568116667	52.40538333	53.9496		"DDK, WOM"	wild
FG20	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG20	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG21	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG21	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG22	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG22	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG23	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG23	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG24	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG24	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG25	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG25	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG26	10/27/2000	Heliconius	sara			All roosting in forest understory!	Wild	FG26	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard @ road to left ~4? km from town"	Cayenne	French Guiana	4.556783333	52.47015	84.1248	All roosting in forest understory!	"DDK, WOM"	wild
FG27	10/28/2000	Heliconius	Small tiger		Female		Wild	FG27	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG28	10/28/2000	Heliconius	melpomene hybrid		Female		Wild	FG28	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG29	10/28/2000	Heliconius	erato hybrid		Male		Wild	FG29	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG3	10/27/2000	Dragonfly				Looks very much like sara!	Wild	FG3	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568133333	52.40538333	53.9496	Looks very much like sara!	"DDK, WOM"	wild
								FG3	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568116667	52.40521667	45.1104	Looks very much like sara!	"DDK, WOM"	wild
FG3	10/27/2000	Dragonfly				Looks very much like sara!	Wild	FG3	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568133333	52.40538333	53.9496	Looks very much like sara!	"DDK, WOM"	wild
								FG3	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568116667	52.40521667	45.1104	Looks very much like sara!	"DDK, WOM"	wild
FG30	10/28/2000	Heliconius	wallacei ?		Female		Wild	FG30	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG300	11/1/2000	Heliconius	erato	erato	Male	released successfully	Wild	FG300	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG301	11/1/2000	Heliconius	erato	erato	Male	unmarked on envelope; released successfully	Wild	FG301	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG302	11/1/2000	Heliconius	erato	erato	Male	released successfully; unmarked on envelope	Wild	FG302	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG303	11/1/2000	Heliconius	erato	erato	Male	released successfully; unmarked on envelope	Wild	FG303	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG304	11/1/2000	Heliconius	melpomene	thexiolope	Male	released successfully	Wild	FG304	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG305	11/1/2000	Heliconius	erato	erato	Male	released successfully; unmarked on envelope	Wild	FG305	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG306	11/1/2000	Heliconius	erato	erato	Male	released successfully; unmarked on envelope	Wild	FG306	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248	released successfully	"DDK, WOM"	wild
FG307	11/1/2000	Heliconius	erato	erato	Female	released successfully; unmarked on envelope	Wild	FG307	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG308	11/1/2000	Heliconius	erato	erato	Male	released successfully; unmarked on envelope	Wild	FG308	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG309	11/1/2000	Heliconius	erato	erato	Female	released successfully in GH!	Wild	FG309	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG31	10/28/2000	Heliconius	erato	erato	Male	Saved as voucher specimen	Wild	FG31	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Saved as voucher specimen	"DDK, WOM"	wild
FG310	11/1/2000	Heliconius	erato	erato	Female	released successfully in GH!	Wild	FG310	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG311	11/1/2000	Heliconius	melpomene	thexiolope	Female	released successfully in GH!	Wild	FG311	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG312	11/1/2000	Heliconius	melpomene	thexiolope	Male	released successfully in GH! Capture tiae 0943	Wild	FG312	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH! Capture tiae 0943	"DDK, WOM"	wild
FG313	11/1/2000	Heliconius	erato	erato	Unknown	released successfully in GH!  erato unmarked on envelope	Wild	FG313	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG314	11/1/2000	Heliconius	melpomene	thexiolope	Female	released successfully in GH!	Wild	FG314	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG315	11/1/2000	Heliconius	erato	erato	Male	released successfully in GH!	Wild	FG315	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	released successfully in GH!	"DDK, WOM"	wild
FG316	11/2/2000	Heliconius	erato	erato	Male	SU Released successfully into GH!  erato unmarked on envelope	Wild	FG316	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG317	11/2/2000	Heliconius	erato	erato	Male	SU Released successfully into GH!	Wild	FG317	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG318	11/1/2000	Heliconius	erato	erato	Male	Successfully released into GH!	Wild	FG318	Maripousoula et environs Rio End of town from barrllof's house	St. Laurent du Maroni	French Guiana	3.63365	54.03063333	110.9472	Successfully released into GH!	"DDK, WOM"	wild
FG319	11/2/2000	Heliconius	melpomene	thexiolope	Female	SU Released successfully into GH!	Wild	FG319	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG32	10/28/2000	Damselfly			Unknown	Saved as voucher specimen	Wild	FG32	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Saved as voucher specimen	"DDK, WOM"	wild
FG320	11/2/2000	Heliconius	erato	erato	Male	SU Released successfully into GH!	Wild	FG320	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG321	11/2/2000	Heliconius	erato	erato	Female	SU Released successfully into GH!	Wild	FG321	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG322	11/2/2000	Heliconius	erato	erato	Male	SU Released successfully into GH!	Wild	FG322	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472	SU Released successfully into GH!	"DDK, WOM, CREW"	wild
FG323	11/1/2000	Heliconius	erato	erato	Male	Released successfully into GH!  collected @ 1243.	Wild	FG323	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	Released successfully into GH!  collected @ 1243.	"DDK, WOM"	wild
FG324	11/2/2000	Heliconius	erato	erato	Female	Suriname?	Wild	FG324	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG325	11/2/2000	Heliconius	erato	erato	Female	Suriname?	Wild	FG325	Mariposoula au Grande Santi Yuhan village	St. Laurent du Maroni	French Guiana	4.052216667	54.36688333	50.9016	Suriname?	"DDK, WOM, CREW"	wild
FG326	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG326	Grande Santi au Kanut Tani Creek on FG side	St. Laurent du Maroni	French Guiana	4.2916	54.39245	9.144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG328	11/3/2000	Heliconius	erato	erato	Male	released successfully into GH!	Wild	FG328	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG329	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG329	Grande Santi au Kanut Tani Oxbow in Surinam	St. Laurent du Maroni	French Guiana	4.373783333	54.44163333	27.1272	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG33	10/28/2000	Heliconius	melpomene hybrid		Female	Classic F1	Wild	FG33	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Classic F1	"DDK, WOM"	wild
FG330	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG330	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG331	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG331	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG332	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG332	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG333	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG333	Grande Santi au Kanut Tani Oxbow in Surinam	St. Laurent du Maroni	French Guiana	4.373783333	54.44163333	27.1272	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG334	11/3/2000	Heliconius	erato	erato	Male	released successfully into GH!	Wild	FG334	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG335	11/3/2000	Heliconius	erato	erato	Female	released successfully into GH!	Wild	FG335	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG336	11/3/2000	Heliconius	erato	erato	Male	released successfully into GH!	Wild	FG336	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG337	11/3/2000	Heliconius	erato	erato	Female	released successfully into GH!	Wild	FG337	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG338	11/3/2000	Heliconius	melpomene	thexiolope	Female	released successfully into GH!	Wild	FG338	Grande Santi au Kanut Tani Creek in SU good place!	St. Laurent du Maroni	French Guiana	4.3629	54.4295	66.1416	released successfully into GH!	"DDK, WOM, CREW"	wild
FG339	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG339	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG34	10/28/2000	Heliconius	wallacei		Male		Wild	FG34	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG340	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG340	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG341	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG341	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG342	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG342	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG343	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG343	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG344	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG344	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG345	11/3/2000	Heliconius	erato	erato	Female	Released successfully into GH!	Wild	FG345	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG346	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG346	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG347	11/3/2000	Heliconius	erato	erato	Male	Released successfully into GH!	Wild	FG347	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG348	11/3/2000	Heliconius	erato	erato	Female	Loc uk? poss-83 Released successfully into GH!	Wild	FG348	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Loc uk? poss-83 Released successfully into GH!	"DDK, WOM, CREW"	wild
FG349	11/3/2000	Heliconius	erato	erato	Female	Loc uk? poss-83 Released successfully into GH!	Wild	FG349	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Loc uk? poss-83 Released successfully into GH!	"DDK, WOM, CREW"	wild
FG35	10/28/2000	Heliconius	sara		Male	classic was dead before it was preserved	Wild	FG35	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	classic was dead before it was preserved	"DDK, WOM"	wild
FG350	11/3/2000	Heliconius	wallacei		Male	Released successfully into GH!	Wild	FG350	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG351	11/3/2000	Heliconius	wallacei		Female	Released successfully into GH!	Wild	FG351	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG352	11/3/2000	Heliconius	wallacei?		Unknown	Released successfully into GH!	Wild	FG352	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
