where	reason	action	id
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR191
Error while assigning cross to individual	No cross found: 	ignored	PR190
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR189
Error while assigning cross to individual	No cross found: 	ignored	PR188
Error while assigning cross to individual	No cross found: 	ignored	PR187
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR186
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR185
Error while assigning cross to individual	No cross found: HBR8	ignored	PR182
Error while assigning cross to individual	No cross found: 	ignored	PR180
Error while assigning cross to individual	No cross found: 	ignored	PR178
Error while assigning cross to individual	No cross found: 	ignored	PR177
Error while assigning cross to individual	No cross found: 	ignored	PR176
Error while assigning cross to individual	No cross found: 	ignored	PR175
Error while assigning cross to individual	No cross found: 	ignored	PR174
Error while assigning cross to individual	No cross found: 	ignored	PR173
Error while assigning cross to individual	No cross found: 	ignored	PR172
Error while assigning cross to individual	No cross found: 	ignored	PR171
Error while assigning cross to individual	No cross found: 	ignored	PR170
Error while assigning cross to individual	No cross found: 	ignored	PR169
Error while assigning cross to individual	No cross found: 	ignored	PR168
Error while assigning cross to individual	No cross found: 	ignored	PR167
Error while assigning cross to individual	No cross found: 	ignored	PR166
Error while assigning cross to individual	No cross found: 	ignored	PR165
Error while assigning cross to individual	No cross found: 	ignored	PR164
Error while assigning cross to individual	No cross found: 	ignored	PR163
Error while assigning cross to individual	No cross found: 	ignored	PR162
Error while assigning cross to individual	No cross found: 	ignored	PR161
Error while assigning cross to individual	No cross found: 	ignored	PR159
Error while assigning cross to individual	No cross found: 	ignored	PR158
Error while assigning cross to individual	No cross found: 	ignored	PR157
Error while assigning cross to individual	No cross found: 	ignored	PR156
Error while assigning cross to individual	No cross found: 	ignored	PR155
Error while assigning cross to individual	No cross found: 	ignored	PR154
Error while assigning cross to individual	No cross found: 	ignored	PR153
Error while assigning cross to individual	No cross found: 	ignored	PR152
Error while assigning cross to individual	No cross found: 	ignored	PR151
Error while assigning cross to individual	No cross found: 	ignored	PR150
Error while assigning cross to individual	No cross found: 	ignored	PR149
Error while assigning cross to individual	No cross found: 	ignored	PR148
Error while assigning cross to individual	No cross found: 	ignored	PR147
Error while assigning cross to individual	No cross found: 	ignored	PR146
Error while assigning cross to individual	No cross found: 	ignored	PR145
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR144
Error while assigning cross to individual	No cross found: 	ignored	PR143
Error while assigning cross to individual	No cross found: 	ignored	PR141
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR140
Error while assigning cross to individual	No cross found: 	ignored	PR139
Error while assigning cross to individual	No cross found: 	ignored	PR138
