BX	cyrbia x himera	HiCH6	HBr7		X	CyHi2		PR143	11/15/1999	lost	X			
F2	cyrbia x himera	(CHCH)1	CyHi2			CyHi2		X	1/1/2020	X	8			0
F2	cyrbia x himera	(CHCH)2	CyHi7		PR225	CyHi2		PR185	12/9/1999		109	75		68.8
F2	cyrbia x himera	(CHCH)3	CyHi7		X	CyHi2		PR186	12/10/1999	12/13/1999	X			
F2	cyrbia x himera	(CHCH)4	CyHi7		PR257	CyHi2		PR180	12/14/1999			66		?
F2	cyrbia x himera	(CHCH)5	CyHi7		PR230	CyHi2		PR253	12/15/1999	1/2/2000	161	118		73.2
F1	etylus x himera	EtHi9	Et		PR233	HBr10		PR184	12/7/1999		15	1		6.6
F1	etylus x himera	EtHi10	EBr10		X	HIM		PR179	12/10/1999	X	19			0
F1	etylus x himera	EtHi11	EBr10		PR224	HBR8		PR182	12/14/1999		19	1	FOCAL	5.2
F1	etylus x himera	EtHi12	H. e. etylus		PR217	HIM		PR181	12/14/1999		34		NON-F	0
F1	etylus x himera	EtHi13	Et		PR243	HIM		PR183	12/14/1999		9		NON-F	0
F1	etylus x himera	EtHi14	H. e. etylus		PR222	HBR5/8/9		PR246	12/20/2000		21	1	FOCAL; female was isolated with PR242-244-245-246 microsatellites determined that PR-246 was the real father	4.7
F1	etylus x himera	EtHi15	H. e. etylus		PR216	HBR5/8/9		PR242	12/23/2000		12	1	FOCAL	8.3
F1	etylus x himera	EtHi16	Et		PR278	HIM		PR221	1/16/2000		23	7	NON-F	30.4
F1	etylus x himera	HiEt3	HBr14  (13?)		PR228	H. e. etylus		PR219	12/27/2000				FOCAL	
F1	etylus x himera	HiEt4	HIM		PR249	H. e. etylus		PR232-234	1/14/2000				NON-F	
F2	etylus x himera	EtF2-1	EtHi15			EtHi12		PR241	1/28/2000				FxNF	
F2	etylus x himera	EtF2-2	EtHi14		PR269	EtHi12		PR240	1/28/2000		148	108	FxNF	72.9
