3905	5/4/1995	Dryas	iulia		m		Wild
3906	5/4/1995	Dryas	iulia		f		Wild
3910	5/4/1995	Heliconius	athis		m		Wild
3911	5/4/1995	Heliconius	athis		f		Wild
3916	5/4/1995	Heliconius	sapho		m		Wild
3917	5/4/1995	Heliconius	eleuchia		f		Wild
3968	5/4/1995	Heliconius	athis		f		Wild
3969	5/4/1995	Heliconius	athis		m		Wild
3997	8/4/1995	Podotricha	telesiphe		m		Wild
3998	8/4/1995	Podotricha	telesiphe		m		Wild
3999	8/4/1995	Heliconius	telesiphe		f	NO WINGS	Wild
4007	8/4/1995	Heliconius	erato	sp???	f	lativitta like	Wild
4008	8/4/1995	Heliconius	erato	sp??	m	lativitta-like	Wild
4011	8/4/1995	Heliconius	numata		m		Wild
4012	8/4/1995	Heliconius	numata		m		Wild
4019	8/4/1995	Dryas	iulia		m		Wild
4020	8/4/1995	Dryas	iulia		m		Wild
4021	8/4/1995	Dryas	iulia		m		Wild
4022	8/4/1995	Heliconius	sara?		f		Wild
4023	8/4/1995	Dione	juno		m		Wild
4026	8/4/1995	Heliconius	melpomene	aglaope	m		Wild
4027	8/4/1995	Heliconius	melpomene	aglaope	m		Wild
7151	1/8/1997	Heliconius	melpomene	rosina			Wild
7152	1/8/1997	Heliconius	melpomene	rosina			Wild
7153	1/8/1997	Heliconius	erato	petiverana			Wild
7154	1/8/1997	Heliconius	erato	petiverana			Wild
7155	1/8/1997	Heliconius	erato	petiverana			Wild
7156	1/8/1997	Heliconius	erato	petiverana			Wild
7157	1/8/1997	Heliconius	erato	petiverana			Wild
7158	1/8/1997	Heliconius	erato	petiverana			Wild
7159	1/8/1997	Heliconius	erato	petiverana			Wild
7160	1/8/1997	Heliconius	erato	petiverana			Wild
7161	1/8/1997	Heliconius	erato	petiverana			Wild
7162	1/8/1997	Heliconius	erato	petiverana			Wild
7163	1/8/1997	Heliconius	erato	petiverana			Wild
7164	1/8/1997	Heliconius	erato	petiverana			Wild
7165	1/8/1997	Heliconius	erato	petiverana			Wild
7166	1/8/1997	Heliconius	sara	fulgidus			Wild
7167	1/8/1997	Heliconius	sara	fulgidus			Wild
7168	1/8/1997	Heliconius	erato	petiverana			Wild
7169	1/8/1997	Heliconius	erato	petiverana			Wild
7170	1/8/1997	Heliconius	sara	fulgidus			Wild
7171	1/8/1997	Heliconius	erato	hybrid?		lacks yellow hindwing band	Wild
7172	1/8/1997	Heliconius	erato	petiverana			Wild
7173	1/8/1997	Heliconius	erato	petiverana			Wild
7174	1/8/1997	Heliconius	erato	petiverana			Wild
7175	1/8/1997	Heliconius	erato	petiverana	m		Wild
7176	1/8/1997	Heliconius	erato	petiverana	f		Wild
7177	1/8/1997	Heliconius	erato	hybrid?		lacks yellow hind wing band	Wild
7178	1/8/1997	Heliconius	erato	petiverana			Wild
7179	1/8/1997	Heliconius	sara	fulgidus	m		Wild
7180	1/8/1997	Heliconius	phaetusa				Wild
7181	1/8/1997	Lycorea	cleobaea			DANAINAE	Wild
7182	1/8/1997	Heliconius	erato	petiverana			Wild
7183	1/8/1997	Heliconius	erato	petiverana	f		Wild
P34	1/8/1997	Heliconius	sapho				Wild
P35	1/8/1997	Heliconius	sapho				Wild
P37	1/8/1997	Heliconius	sapho				Wild
P38	1/8/1997	Heliconius	sapho				Wild
P39	1/8/1997	Heliconius	cydno				Wild
P40	1/8/1997	Heliconius	cydno				Wild
P41	1/8/1997	Heliconius	cydno				Wild
P42	1/8/1997	Heliconius	cydno				Wild
P43	1/9/1997	Heliconius	melpomene	rosina			Wild
P44	1/9/1997	Heliconius	erato	petiverana	f	No body	Wild
P45	1/9/1997	Heliconius	sara		m		Wild
P47	1/9/1997	Heliconius	erato	petiverana	m		Wild
P48	1/9/1997	Heliconius	ismenius?		m		Wild
P49	1/9/1997	Heliconius	ismenius?		m		Wild
P50	1/9/1997	Heliconius	erato	petiverana	f		Wild
P51	1/9/1997	Heliconius	erato	petiverana	m		Wild
P52	1/9/1997	Dryas 	iulia		f		Wild
P53	1/9/1997	Heliconius	ismenius?		m		Wild
P54	1/9/1997	Heliconius	ismenius?		m		Wild
P55	1/9/1997	Heliconius	ismenius?		m		Wild
P56	1/9/1997	Heliconius	ismenius?		m		Wild
P57	1/9/1997	Heliconius	sara		m		Wild
P58	1/9/1997	?					Wild
PR01	10/17/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
