PR46	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR46					cyrbia	mother1/2	CBr11A							Reared	
PR47	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR47					cyrbia	mother2/2	CBr11B							Reared	
PR48	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared	PR48														Reared	
PR49	10/27/1999	Heliconius	erato	etylus	f		Reared	PR49					etylus		EBr6 - ?							Reared	
PR50	10/27/1999	Heliconius	erato	etylus	f		Reared	PR50					etylus		EBr6 - ?							Reared	
PR51	10/27/1999	Heliconius	himera		m		Reared	PR51			CyHiB6		cyrbia	father1/3	CyHiB6	This may be the male 1/3 parent of CyHiB6	CyHiB6	cyrbia x himera	PR60	Pr51, 52, 53	F1	Reared	
PR52	10/27/1999	Heliconius	himera		m		Reared	PR52			CyHiB6		cyrbia	father2/3	CyHiB6	This may be the male 2/3 parent of CyHiB6	CyHiB6	cyrbia x himera	PR60	Pr51, 52, 53	F1	Reared	
PR53	10/27/1999	Heliconius	himera		m		Reared	PR53			CyHiB6		cyrbia	father3/3	CyHiB6	This may be the male 3/3 parent of CyHiB6	CyHiB6	cyrbia x himera	PR60	Pr51, 52, 53	F1	Reared	
PR54	10/27/1999	Heliconius	erato	petiverana	m		Reared	PR54					petiverana	father	PHPe2							Reared	
PR59	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR59					petiverana x himera	F1	PeHi2-?							Reared	
PR60	10/11/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared	PR60			CyHiB6		cyrbia	mother	CyHiB6	This is the female parent of CyHiB6	CyHiB6	cyrbia x himera	PR60	Pr51, 52, 53	F1	Reared	
PR61	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR61			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR62	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR62			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR63	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR63			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR64	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR64			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR65	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR65			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR66	10/11/1999	Heliconius	erato	cyrbia	f		Reared	PR66					cyrbia		CBr11-?							Reared	
PR67	10/11/1999	Heliconius	erato	cyrbia	f		Reared	PR67					cyrbia		CBr11-?							Reared	
PR68	10/11/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR68														Reared	
PR69	10/11/1999	Heliconius	himera		m		Reared	PR69			himera		cyrbia	father	(CH)Hi2	This is the male parent of CHHi2	himera	himera	NA	NA	Stock	Reared	
